1624787340000 32490.21000000 32597.21000000 32482.87000000 32579.20000000 119.51493000 1624787399999 3889383.73919065 2176 72.31489700 2353203.84716675 0
1624787400000 32579.19000000 32632.95000000 32577.90000000 32621.46000000 81.04920200 1624787459999 2642915.95726584 1515 37.19925800 1213013.09147229 0
1624787460000 32621.46000000 32633.57000000 32614.01000000 32627.90000000 37.66710200 1624787519999 1228943.57128272 966 25.82995300 842755.94872908 0
1624787520000 32627.89000000 32634.84000000 32580.01000000 32620.04000000 45.88041100 1624787579999 1495924.45047175 885 19.75906000 644299.51368590 0
1624787580000 32620.05000000 32641.65000000 32612.13000000 32613.99000000 88.89669800 1624787639999 2900156.44837339 1199 57.74317300 1883734.20980700 0
1624787640000 32614.00000000 32656.47000000 32599.58000000 32649.22000000 67.92320200 1624787699999 2215599.34410921 1039 28.46183800 928547.47226835 0
1624787700000 32648.56000000 32773.44000000 32647.18000000 32699.99000000 182.28909300 1624787759999 5960276.73401535 2662 113.87728800 3723175.65275463 0
1624787760000 32700.00000000 32718.27000000 32662.02000000 32715.69000000 120.59762200 1624787819999 3940800.09008737 1042 94.26178400 3080054.50902343 0
1624787820000 32715.70000000 32740.47000000 32679.82000000 32681.32000000 44.96814900 1624787879999 1471264.81362973 957 29.71016600 972145.84156738 0
1624787880000 32681.33000000 32688.12000000 32606.03000000 32614.98000000 40.53307300 1624787939999 1323117.51410749 970 9.69969100 316707.76623264 0
1624787940000 32614.98000000 32659.20000000 32537.45000000 32564.59000000 77.45862200 1624787999999 2525247.64903160 1325 23.54188300 767995.05311024 0
1624788000000 32564.60000000 32671.89000000 32538.15000000 32667.22000000 98.69942000 1624788059999 3219764.71051231 1194 67.40970600 2200064.71780068 0
1624788060000 32667.23000000 32726.46000000 32660.76000000 32693.36000000 58.08517800 1624788119999 1898957.76449363 932 27.14187000 887352.56776497 0
1624788120000 32693.37000000 32698.85000000 32638.64000000 32659.57000000 60.16745700 1624788179999 1964712.99535444 829 21.79908400 711847.53607216 0
1624788180000 32659.57000000 32714.37000000 32655.26000000 32669.93000000 66.63132500 1624788239999 2178342.31735174 887 39.58297000 1294033.63823894 0
